station_name,stats,p_value,crit1,stationary
Rothenburgsort/Marktplatz/Lindleystraße,-11.525532361137957,3.944652365725182e-21,-3.4305718183168747,True
Rödingsmarkt / Großer Burstah,-18.175376903786685,2.4408687181598127e-30,-3.4305718333664075,True
Röntgenstraße/Philips,-8.48647964823945,1.3490153452557142e-13,-3.4305718333664075,True
S Allermöhe/Walter-Rudolphi-Weg,-10.988702569771418,7.150003459264458e-20,-3.4305718333664075,True
S Nettelnburg/Friedrich-Frank-Bogen,-11.761437375430964,1.145472661851772e-21,-3.4305718333664075,True
Saarlandstraße/Wiesendamm,-11.994920674453772,3.4518490245299656e-22,-3.430571825841386,True
Schellerdamm/Hausnummer22,-9.93765681897783,2.71657227633689e-17,-3.430571825841386,True
Schleidenstraße/Osterbekstraße,-12.448319128430262,3.6224921177623176e-23,-3.4305718333664075,True
Schloßstrasse/Schloßgarten,-11.59215522013984,2.775221560702309e-21,-3.430571825841386,True
Schopenstehl/Alter Fischmarkt,-18.678077175155725,2.0427106324327276e-30,-3.4305718333664075,True
Schulterblatt/Eifflerstraße,-12.997154421586051,2.7349507366406637e-24,-3.4305718183168747,True
Sieldeich/ Gresham Carat Hotel,-13.437227917382662,3.9081325818742362e-25,-3.4305718333664075,True
Siemersplatz/Kollaustraße,-5.600108006088396,1.2704904900613959e-06,-3.430571825841386,True
Sievekingplatz/Gorch-Fock-Wall,-14.389759099271437,8.865198562301055e-27,-3.430571825841386,True
Sievekingsallee/Sievekingdamm,-6.205723895938887,5.664259413034855e-08,-3.4305718333664075,True
Sophienallee / Sandweg,-5.659239054470313,9.463564442125096e-07,-3.430571825841386,True
St.Petersburger Straße/Bei den Kirchhöfen,-13.489318469782521,3.1287229378597348e-25,-3.4305718183168747,True
Stadthausbrücke / Neuer Wall,-16.523608893446657,2.0536006127415386e-29,-3.4305718333664075,True
Steindamm / Stralsunder Straße,-10.77827555010104,2.2898319632885115e-19,-3.4305718333664075,True
Steinstraße / Deichtorplatz,-15.224432641919023,5.428616417670873e-28,-3.4305718333664075,True
Sternschanze / Eingang Dänenweg,-11.245995673896957,1.7590983695592275e-20,-3.4305718333664075,True
Süderfeldstraße/Universitätsklinikum Eppendorf,-8.148156878487205,9.859924434848362e-13,-3.430571825841386,True
