station_name,stats,p_value,crit1,stationary
Rödingsmarkt / Großer Burstah,-26.124308932526915,0.0,-3.4305718333664075,True
Röntgenstraße/Philips,-29.499152029869453,0.0,-3.4305718333664075,True
S Allermöhe/Walter-Rudolphi-Weg,-23.26624684260243,0.0,-3.430571825841386,True
S Nettelnburg/Friedrich-Frank-Bogen,-24.602464256631674,0.0,-3.430571810792874,True
Saarlandstraße/Wiesendamm,-26.844229449202942,0.0,-3.430571825841386,True
Schellerdamm/Hausnummer22,-25.846282861891147,0.0,-3.430571825841386,True
Schleidenstraße/Osterbekstraße,-27.826381689532713,0.0,-3.4305718333664075,True
Schloßstrasse/Schloßgarten,-26.074650834884878,0.0,-3.4305718333664075,True
Schopenstehl/Alter Fischmarkt,-29.845001611546092,0.0,-3.430571825841386,True
Schulterblatt/Eifflerstraße,-29.56516139598235,0.0,-3.4305718333664075,True
Sieldeich/ Gresham Carat Hotel,-18.286902537416438,2.3018341426155306e-30,-3.4305718333664075,True
Siemersplatz/Kollaustraße,-26.736105384598385,0.0,-3.430571825841386,True
Sievekingplatz/Gorch-Fock-Wall,-27.172624230117123,0.0,-3.4305718183168747,True
Sievekingsallee/Sievekingdamm,-28.80560511885198,0.0,-3.430571825841386,True
Sophienallee / Sandweg,-30.570868647714025,0.0,-3.4305718333664075,True
St.Petersburger Straße/Bei den Kirchhöfen,-25.389442316302592,0.0,-3.4305718333664075,True
Stadthausbrücke / Neuer Wall,-28.525996540743794,0.0,-3.4305718183168747,True
Steindamm / Stralsunder Straße,-27.884784419540647,0.0,-3.430571825841386,True
Steinstraße / Deichtorplatz,-27.10048159133196,0.0,-3.4305718183168747,True
Sternschanze / Eingang Dänenweg,-28.72418605476997,0.0,-3.4305718183168747,True
Süderfeldstraße/Universitätsklinikum Eppendorf,-30.530537385611645,0.0,-3.4305718333664075,True
Südring/Stadthallenbrücke,-31.160722911391854,0.0,-3.4305717957464044,True
TU Harburg/Denickestraße,-29.641412309415337,0.0,-3.430571825841386,True
Thadenstraße/Holstenstraße,-28.15741789116749,0.0,-3.430571825841386,True
Traberweg/Eckerkoppel,-24.889917373433033,0.0,-3.4305718333664075,True
Troplowitzstraße / Beiersdorf  / NXP,-30.937380966810352,0.0,-3.4305718333664075,True
U-Bahn Baumwall,-25.808966987704622,0.0,-3.4305718183168747,True
U-Bahn Schlump,-23.725355133130094,0.0,-3.4305718183168747,True
Uferstraße/Wagnerstraße,-28.335348112469173,0.0,-3.4305718183168747,True
Uhlandstraße / Eingang Nord,-27.679223551848256,0.0,-3.430571825841386,True
Unilever/Strandkai,-28.355018593305818,0.0,-3.430571825841386,True
Universität / Moorweidenstraße,-28.474984609653887,0.0,-3.430571825841386,True
Universität / Schlüterstraße,-28.58269927029311,0.0,-3.4305718333664075,True
Versmannstraße/Am Hannoverschen Bahnhof,-28.08460525126086,0.0,-3.4305718183168747,True
Vierlandenstraße/Johann-Adolf-Hasse-Platz,-23.10653471728403,0.0,-3.4305718333664075,True
Wandsbeker Chaussee/ Börnestraße,-25.69103683144033,0.0,-3.4305718333664075,True
Wandsbeker Chaussee/Ritterstraße,-25.37954463945296,0.0,-3.4305718333664075,True
Wandsbeker Marktstraße/Wandsbeker Marktplatz,-25.37651377521721,0.0,-3.4305718183168747,True
Wartenau / Lübecker Straße,-27.7180728688064,0.0,-3.4305718183168747,True
Weidestraße /Johannes-Prassek-Park,-30.339987783772916,0.0,-3.430571825841386,True
Weidestraße/Biedermannplatz,-27.180219725711204,0.0,-3.4305718333664075,True
Wentorfer Straße/Bezirksamt Bergedorf,-25.89113995927118,0.0,-3.4305718333664075,True
Wiesendamm/Roggenkamp,-27.09901654274056,0.0,-3.4305718183168747,True
Wilhelmsburger Platz/Zur Schleuse,-22.968824167984526,0.0,-3.4305718183168747,True
Winterhuder Weg/ Zimmerstraße,-28.839114746776556,0.0,-3.430571825841386,True
Zentralbibliothek / Münzstraße,-25.45819302257156,0.0,-3.4305718183168747,True
Überseering/Mexikoring,-28.099922036354474,0.0,-3.4305718333664075,True
